id,number,title,labels,state,assignee,assignees,milestone,created_at,updated_at,closed_at,author_association,user.login,user.id,user.node_id,assignee.login,assignee.id,assignee.node_id,assignee.avatar_url,assignee.gravatar_id,assignee.url,assignee.html_url,assignee.followers_url,assignee.following_url,assignee.gists_url,assignee.starred_url,assignee.subscriptions_url,assignee.organizations_url,assignee.repos_url,assignee.events_url,assignee.received_events_url,assignee.type,assignee.site_admin,milestone.url,milestone.html_url,milestone.labels_url,milestone.id,milestone.node_id,milestone.number,milestone.title,milestone.description,milestone.creator.login,milestone.creator.id,milestone.creator.node_id,milestone.creator.avatar_url,milestone.creator.gravatar_id,milestone.creator.url,milestone.creator.html_url,milestone.creator.followers_url,milestone.creator.following_url,milestone.creator.gists_url,milestone.creator.starred_url,milestone.creator.subscriptions_url,milestone.creator.organizations_url,milestone.creator.repos_url,milestone.creator.events_url,milestone.creator.received_events_url,milestone.creator.type,milestone.creator.site_admin,milestone.open_issues,milestone.closed_issues,milestone.state,milestone.created_at,milestone.updated_at,milestone.due_on,milestone.closed_at
941377486,42752,Arguments error when using destroy_async,[],open,,[],,2021-07-11T05:33:07Z,2021-07-11T05:33:07Z,,NONE,antarr,974295,MDQ6VXNlcjk3NDI5NQ==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941363925,42751,Add change tracking methods for `belongs_to` associations,"[{'id': 107191, 'node_id': 'MDU6TGFiZWwxMDcxOTE=', 'url': 'https://api.github.com/repos/rails/rails/labels/activerecord', 'name': 'activerecord', 'color': '0b02e1', 'default': False, 'description': None}]",open,,[],,2021-07-11T03:21:33Z,2021-07-11T03:53:03Z,,CONTRIBUTOR,georgeclaghorn,94129,MDQ6VXNlcjk0MTI5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941216925,42750,Redis cluster cross slot Issues in Rails.cache.delete_matched,[],open,,[],,2021-07-10T09:55:59Z,2021-07-10T16:53:43Z,,NONE,Subramanian-ERS,73224279,MDQ6VXNlcjczMjI0Mjc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941174349,42749,[CI skip] Add `(see below)` notations to threading documentation,"[{'id': 150377, 'node_id': 'MDU6TGFiZWwxNTAzNzc=', 'url': 'https://api.github.com/repos/rails/rails/labels/docs', 'name': 'docs', 'color': '02d7e1', 'default': False, 'description': None}]",closed,,[],,2021-07-10T05:00:51Z,2021-07-10T15:25:52Z,2021-07-10T15:22:01Z,CONTRIBUTOR,pocke,4361134,MDQ6VXNlcjQzNjExMzQ=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941068592,42748,Fix autosave associations when saving new records with validate: false,"[{'id': 107191, 'node_id': 'MDU6TGFiZWwxMDcxOTE=', 'url': 'https://api.github.com/repos/rails/rails/labels/activerecord', 'name': 'activerecord', 'color': '0b02e1', 'default': False, 'description': None}]",open,,[],,2021-07-09T21:13:15Z,2021-07-09T21:46:42Z,,CONTRIBUTOR,marcelolx,20196775,MDQ6VXNlcjIwMTk2Nzc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941045464,42747,Raise an error in generators if type options are invalid,"[{'id': 107195, 'node_id': 'MDU6TGFiZWwxMDcxOTU=', 'url': 'https://api.github.com/repos/rails/rails/labels/railties', 'name': 'railties', 'color': '8BE06E', 'default': False, 'description': None}]",open,,[],,2021-07-09T20:26:17Z,2021-07-11T10:08:17Z,,MEMBER,p8,28561,MDQ6VXNlcjI4NTYx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940996289,42746,Added Rubocop rule that throws error when using Digest 42665 ,[],open,,[],,2021-07-09T18:55:13Z,2021-07-11T10:47:00Z,,NONE,vishaldeepak,9512872,MDQ6VXNlcjk1MTI4NzI=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940989726,42745,Can't set custom logger to subclass of ActiveSupport::LogSubscriber,"[{'id': 107194, 'node_id': 'MDU6TGFiZWwxMDcxOTQ=', 'url': 'https://api.github.com/repos/rails/rails/labels/activesupport', 'name': 'activesupport', 'color': 'FC9300', 'default': False, 'description': None}]",open,,[],,2021-07-09T18:43:48Z,2021-07-10T09:22:12Z,,NONE,scnfilho,363812,MDQ6VXNlcjM2MzgxMg==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940818647,42744,Make vips the default variant processor,"[{'id': 664533972, 'node_id': 'MDU6TGFiZWw2NjQ1MzM5NzI=', 'url': 'https://api.github.com/repos/rails/rails/labels/activestorage', 'name': 'activestorage', 'color': 'bfd4f2', 'default': False, 'description': None}, {'id': 150377, 'node_id': 'MDU6TGFiZWwxNTAzNzc=', 'url': 'https://api.github.com/repos/rails/rails/labels/docs', 'name': 'docs', 'color': '02d7e1', 'default': False, 'description': None}, {'id': 107195, 'node_id': 'MDU6TGFiZWwxMDcxOTU=', 'url': 'https://api.github.com/repos/rails/rails/labels/railties', 'name': 'railties', 'color': '8BE06E', 'default': False, 'description': None}]",open,,[],,2021-07-09T14:30:47Z,2021-07-09T18:39:49Z,,CONTRIBUTOR,brenogazzola,1793280,MDQ6VXNlcjE3OTMyODA=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940764603,42743,HABTM relationship only partially loaded when using includes,"[{'id': 107191, 'node_id': 'MDU6TGFiZWwxMDcxOTE=', 'url': 'https://api.github.com/repos/rails/rails/labels/activerecord', 'name': 'activerecord', 'color': '0b02e1', 'default': False, 'description': None}]",open,,[],,2021-07-09T13:25:38Z,2021-07-10T09:24:56Z,,NONE,heldersantosmoreira,490570,MDQ6VXNlcjQ5MDU3MA==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940266666,42742,Document ActiveStorage::Preview#download,"[{'id': 664533972, 'node_id': 'MDU6TGFiZWw2NjQ1MzM5NzI=', 'url': 'https://api.github.com/repos/rails/rails/labels/activestorage', 'name': 'activestorage', 'color': 'bfd4f2', 'default': False, 'description': None}]",open,,[],,2021-07-08T22:29:14Z,2021-07-08T22:29:17Z,,NONE,dmarcoux,1102934,MDQ6VXNlcjExMDI5MzQ=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940260110,42741,ActiveRecord::RecordInvalid Validation failed,[],closed,,[],,2021-07-08T22:15:10Z,2021-07-10T07:12:45Z,2021-07-09T16:22:57Z,NONE,Souravgoswami,37468605,MDQ6VXNlcjM3NDY4NjA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
